,Sentences
7233,  where is the nearest kid friendly restaurant
7234,  where is the nearest kid friendly restaurant in toledo ohio
7235,  where is the nearest little caesars pizza
7236,  where is the nearest malaysian restaurant
7237,  where is the nearest mcdonalds
7238,  where is the nearest mcdonalds with a play area
7239,  where is the nearest medium ranged restaurant within a ten mile location of my current location
7240,  where is the nearest mexican food place
7241,  where is the nearest mexican restaurant
7242,  where is the nearest mexican restaurant and hotel
7243,  where is the nearest moderately priced russian restaurant
7244,  where is the nearest mongolian food restaurant
7245,  where is the nearest no name pizza
7246,  where is the nearest olive garden
7247,  where is the nearest olive garden restaurant to zip code 04032
7248,  where is the nearest open restaurant
7249,  where is the nearest pizza parlor that accepts checks
7250,  where is the nearest pizza place
7251,  where is the nearest pizza place with late hours
7252,  where is the nearest place cheap to moderately priced chicken tender place
7253,  where is the nearest place for chinese takeout
7254,  where is the nearest place that serves clam sauce with cheap prices
7255,  where is the nearest place that serves low carb options for lunch
7256,  where is the nearest place to eat for a reasonable cost
7257,  where is the nearest place to eat that has carryout and has good reviews of their food
7258,  where is the nearest place to get a ruben
7259,  where is the nearest place to get good pizza
7260,  where is the nearest place where i can get a bite to eat
7261,  where is the nearest place where i can get a fast meal
7262,  where is the nearest red robin
7263,  where is the nearest restaurant
7264,  where is the nearest restaurant that allows smoking
7265,  where is the nearest restaurant that has been featured on diners drive ins and dives
7266,  where is the nearest restaurant that offers outdoor dining
7267,  where is the nearest restaurant that requires a tie and jacket to eat
7268,  where is the nearest restaurant that sells cheeseburgers
7269,  where is the nearest restaurant that serves breakfast
7270,  where is the nearest restaurant that serves cookies
7271,  where is the nearest restaurnat that has carry out pizza i would like the phone number too
7272,  where is the nearest royal garden
7273,  where is the nearest sandwich shop that is not part of a chain of stores
7274,  where is the nearest seafood restaurant
7275,  where is the nearest sebastians restaurant located
7276,  where is the nearest shake shack to greenwich connecticut
7277,  where is the nearest sit down restaurant that has a 15 plate
7278,  where is the nearest sonic
7279,  where is the nearest soup restaurant
7280,  where is the nearest sports bar
7281,  where is the nearest sports bar with televisions
7282,  where is the nearest spot that serves indian food
7283,  where is the nearest starbucks
7284,  where is the nearest starbucks coffee shop and how much is a small coffee
7285,  where is the nearest steak and shake
7286,  where is the nearest steak house
7287,  where is the nearest subway sandwich restaurant
7288,  where is the nearest sushi restaurant
7289,  where is the nearest taco bell
7290,  where is the nearest taco bell or mexican place
7291,  where is the nearest taco bell to my current location
7292,  where is the nearest vegan restaurant
7293,  where is the nearest vegetarian restaurant
7294,  where is the nearest vietnamese restaurant
7295,  where is the nearest wendys
7296,  where is the nearest wendys to exit 33 on the long island expressway
7297,  where is the nearest wings and salads restaurant
7298,  where is the nearst arbys
7299,  where is the nearst mexican restaurant
7300,  where is the nearst place that has great reviews
7301,  where is the newbury street bakery and deli with the best rating
7302,  where is the next mcdonalds
7303,  where is the olive garden located
7304,  where is the parkway restaurant in woburn
7305,  where is the perkins restaurant
7306,  where is the pub
7307,  where is the quietest fredas
7308,  where is the restaurant la parrilla
7309,  where is the schlotzskys on boxboro that does catering
7310,  where is the sugar mountain restaurant
7311,  where is there a beer garden
7312,  where is there a cigar and wine club
7313,  where is there a cuban place that serves lunch
7314,  where is there a dairy queen
7315,  where is there a fancy place for dinner
7316,  where is there a fish fry tonight in fife lake michigan
7317,  where is there a good place to eat within two miles of here
7318,  where is there a good seafood place
7319,  where is there a good wine bar
7320,  where is there a greek isles hotel restaurant within 1 mile
7321,  where is there a greek restaurant nearby
7322,  where is there a high quality steakhouse that does not have a dress code for this evening
7323,  where is there a hotel with an asian restaurant
7324,  where is there a kid friendly restaurant within 5 miles
7325,  where is there a krickets korner featuring live music nearby
7326,  where is there a mcdonalds
7327,  where is there a mcdonals on the north side of town
7328,  where is there a nysa cafe within 3 miles
7329,  where is there a reasonably priced chicken shack on arlington street
7330,  where is there a restaurant with a great wine list
7331,  where is there a sushi restaurant that can allow for groups to dine
7332,  where is there a tong villa with small portions
7333,  where is there a vegan restaurant
7334,  where is there a vegan restaurant within 20 minutes
7335,  where is there a very cheap middle eastern place that is open after noon
7336,  where is there an expensive spanish fine dining restaurant
7337,  where is there an upscale greek restaurant with parking
7338,  where is wendys
7339,  where is west hanover pizzeria
7340,  where near my location is wana iguana
7341,  where nearby can i eat on the patio
7342,  where nearby can i get brunch that doesnt have a buffet
7343,  where nearby is a good mexican place for a date
7344,  where nearby is there an italian place with a chefands table
